,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
2014-03-31,1564313.17,1524063.68,1505744.64,1506254.65,1524435.85,1595230.85,1687363.60,1837665.14,1979861.64,2037134.47,2041641.86,1998180.68,1994141.94,2003363.49,2004149.18,1993094.35,1966752.99,1945911.47,1941610.84,2010186.61,2026493.16,1940108.37,1794962.08,1682773.50,
2014-04-01,1661711.83,1619160.64,1596875.03,1598986.29,1611745.13,1685548.31,1767444.69,1919833.98,2051384.26,2090872.81,2079508.45,2035067.54,2047331.15,2055515.57,2047722.12,2021227.00,1997103.80,1996243.66,2018672.63,2087484.35,2114279.22,2030962.30,1882769.48,1756510.40,
2014-04-02,1680309.24,1641628.71,1622914.01,1625064.37,1644104.89,1714936.65,1812107.14,1973215.19,2110017.58,2161561.21,2156634.92,2112571.96,2109170.47,2112858.67,2099291.81,2095134.44,2068339.57,2052218.34,2044659.48,2096372.53,2126699.21,2046966.24,1895867.17,1766910.35,
2014-04-03,1688141.78,1647206.63,1627957.59,1635320.97,1647740.96,1707990.32,1793613.99,1939343.66,2075833.27,2118840.60,2105573.49,2062448.87,2058982.22,2068365.64,2052739.64,2047044.43,2025214.95,2002316.81,1998498.28,2062279.45,2109274.73,2034037.97,1885037.14,1772918.34,
2014-04-04,1686173.87,1645890.34,1625468.38,1627071.38,1645486.34,1704302.11,1798123.24,1953874.92,2091133.46,2122033.57,2116181.96,2072887.92,2076406.70,2080746.53,2067544.59,2063139.60,2034976.31,2004884.22,1992373.00,2030571.32,2076302.44,2015466.63,1877582.54,1763052.73,
2014-04-05,1675122.29,1629756.08,1606232.38,1595780.29,1612722.57,1640090.87,1670782.46,1789847.59,1915715.70,1984175.54,2000544.39,1983901.86,1970960.56,1952193.73,1926245.98,1925685.58,1926636.95,1946394.26,1958214.75,2017708.22,2050550.18,1975170.07,1848142.07,1743399.68,
2014-04-06,1669674.70,1613439.36,1584037.99,1573025.51,1573976.88,1578877.11,1582656.54,1660043.66,1765007.60,1840505.01,1855309.95,1846877.91,1843007.25,1831447.40,1814453.00,1811116.67,1825582.77,1846773.65,1874663.25,1968940.52,2037608.88,1959439.81,1812211.40,1692168.83,
2014-04-07,1616397.75,1572048.07,1559771.43,1557608.03,1584285.61,1644965.04,1751036.74,1928956.74,2085464.31,2148789.34,2149336.70,2098288.31,2102693.30,2105286.78,2087223.70,2072275.39,2031366.31,1991512.85,1992125.38,2045011.36,2086546.01,2014124.28,1863181.60,1753043.75,
2014-04-08,1663914.32,1614899.01,1598829.90,1605437.39,1623318.01,1667902.28,1765854.72,1932788.30,2066228.30,2094404.62,2084864.81,2034598.37,2033907.65,2042144.20,2023429.50,2026114.20,2008272.68,1986990.57,1974909.42,2004819.06,2080968.09,2014723.77,1859610.69,1736283.92,
2014-04-09,1652145.96,1607587.76,1592066.03,1595128.67,1612214.31,1661503.31,1752613.67,1911858.07,2046040.93,2086897.89,2076615.23,2007855.63,2017799.45,2036800.87,2024029.00,2021943.79,1999632.11,1984527.42,1978089.35,2006643.61,2080029.75,2017929.77,1868668.29,1741379.64,
2014-04-10,1661972.48,1626914.99,1611536.61,1615303.01,1625546.58,1666299.28,1765203.09,1925868.03,2063791.22,2105065.22,2097310.87,2045662.98,2049481.51,2060898.00,2043786.30,2030297.64,1998811.06,1977203.14,1976421.19,2012690.70,2096581.05,2034663.53,1880827.63,1766284.79,
2014-04-11,1679631.55,1639934.48,1623761.12,1623526.54,1635529.49,1674965.90,1785155.88,1942458.43,2071767.13,2109444.15,2098392.57,2042939.19,2038325.67,2027691.13,2000335.87,1990652.70,1958097.46,1937128.13,1924265.03,1960365.12,2069499.47,2023155.82,1877269.76,1764186.55,
2014-04-12,1678211.00,1630134.02,1608617.33,1602922.12,1607418.34,1608187.26,1651872.27,1768500.32,1873568.52,1919117.19,1915415.95,1887226.60,1868472.80,1852977.13,1833493.51,1827498.55,1827263.97,1830795.78,1832203.29,1882587.02,1994562.46,1948114.55,1826338.66,1713633.40,
2014-04-13,1642645.25,1588820.93,1569923.77,1563420.54,1566848.09,1548224.62,1557451.64,1635464.33,1727890.98,1791815.50,1804352.79,1792193.45,1785716.28,1772801.05,1762974.53,1764681.79,1768057.21,1794408.98,1800677.62,1866700.38,1993989.03,1997234.13,1776124.35,1651794.08,
2014-04-14,1592717.65,1557868.69,1545774.50,1539896.84,1557686.23,1589785.33,1718624.85,1899086.20,2037035.45,2078192.16,2073956.59,2033959.78,2023846.54,2035054.51,2018007.97,2006005.02,1987133.92,1977528.95,1975743.50,2002147.39,2059477.46,1981595.10,1820604.35,1700183.83,
2014-04-15,1612839.87,1581666.07,1570445.07,1570080.16,1583086.62,1622392.71,1720019.33,1892804.52,2040580.30,2097780.04,2096177.04,2051631.88,2049377.25,2059242.87,2040436.94,2034272.56,2012377.92,1983745.47,1983862.76,1999501.79,2049429.38,1986755.98,1829753.18,1703572.29,
2014-04-16,1619108.51,1571800.45,1559575.95,1561530.82,1574641.54,1602922.12,1710466.50,1881922.37,2023299.17,2049442.41,2036018.92,1999006.55,2005418.55,2016704.72,1997312.32,1971859.81,1938626.87,1911662.58,1911532.26,1933192.31,2020014.98,1977203.14,1811194.86,1695075.09,
2014-04-17,1611640.87,1565935.82,1545175.01,1544614.61,1557581.97,1590736.71,1697824.95,1863168.57,1995305.31,2027625.97,2010344.85,1954839.33,1963792.67,1973136.99,1967272.36,1985244.21,1964418.24,1928161.76,1915090.14,1927966.27,2006226.57,1969787.64,1797680.14,1671043.11,
2014-04-18,1576009.96,1532181.58,1519448.81,1527672.33,1535791.59,1564580.43,1679787.94,1837872.44,1958305.98,1991200.07,1979731.45,1927080.06,1918739.24,1928930.68,1891592.50,1875223.65,1848937.05,1832086.00,1816186.32,1831095.53,1951450.88,1938783.26,1800234.51,1684245.06,
2014-04-19,1584311.67,1529366.56,1508892.46,1505855.89,1509557.12,1497593.27,1559302.26,1672958.89,1763352.47,1808158.29,1795464.61,1766402.08,1753174.07,1735658.36,1716578.75,1710727.15,1712994.80,1717334.63,1717947.16,1754216.67,1883851.18,1874441.70,1750606.67,1635034.25,
2014-04-20,1555496.77,1498870.45,1476897.62,1468595.90,1458248.08,1428169.02,1452096.73,1515499.95,1596171.27,1639699.90,1646085.83,1630186.15,1624842.82,1608695.52,1599807.34,1601449.44,1613061.42,1630016.73,1643231.71,1684649.07,1816577.30,1815899.61,1670495.75,1560618.55,
2014-04-21,1493070.98,1454703.23,1438243.16,1438334.39,1442934.87,1468335.25,1587283.09,1765307.35,1894485.72,1919547.26,1907557.34,1857251.80,1864289.36,1870831.69,1853889.41,1834184.23,1810908.15,1790121.28,1781363.42,1785651.12,1902396.46,1899881.18,1746149.54,1619603.75,
2014-04-22,1539492.83,1499561.18,1492653.94,1496381.24,1497945.15,1521090.91,1631280.89,1795256.09,1916732.23,1958384.18,1945390.75,1884372.48,1882978.00,1895971.43,1875575.53,1860601.16,1830443.90,1805225.97,1794904.21,1807363.30,1918335.23,1903908.23,1751167.06,1632036.77,
2014-04-23,1549866.72,1504513.54,1496198.79,1500512.55,1505100.00,1528076.34,1643700.88,1800677.62,1917892.13,1947893.00,1934404.34,1915442.01,1915819.96,1909629.51,1886236.13,1874089.82,1863377.09,1843033.32,1861044.26,1907257.59,1968119.47,1916810.43,1764277.78,1652615.13,
2014-04-24,1585979.84,1541486.80,1519904.95,1525521.96,1523658.31,1536977.55,1656407.59,1826977.25,1955217.27,1996660.70,1988919.38,1951646.36,1953301.49,1973058.80,1955934.06,1956012.26,1956872.40,1935277.51,1908091.67,1901001.98,1969383.63,1956168.65,1802658.56,1688832.51,
2014-04-25,1599937.67,1554375.97,1539688.32,1539844.71,1546452.20,1570940.31,1689432.00,1854775.62,1975404.65,2019324.25,2007177.94,1962137.54,1974766.06,1984540.45,1966855.32,1957862.88,1935955.21,1914894.65,1884581.00,1872043.71,1951411.78,1937102.07,1800039.02,1692781.36,
2014-04-26,1610559.18,1563433.57,1541408.61,1538632.68,1521651.30,1517598.19,1584350.77,1702399.36,1803596.90,1846956.11,1860431.74,1852964.10,1837090.49,1831277.98,1802841.02,1801941.77,1800456.07,1804874.09,1796064.11,1809878.58,1891566.43,1897040.09,1775316.33,1668723.32,
2014-04-27,1596497.08,1552134.38,1528076.34,1519957.08,1491533.14,1475959.28,1498727.10,1561986.96,1647558.51,1712264.98,1735827.78,1728216.79,1726744.12,1721205.29,1702633.95,1703350.74,1713737.66,1721492.01,1726327.08,1761606.11,1869893.35,1876422.64,1733390.70,1614455.90,
2014-04-28,1558468.18,1520673.86,1501867.93,1502258.91,1493448.92,1519709.46,1641315.93,1794721.76,1919521.19,1955086.95,1939864.96,1895280.70,1881674.75,1881375.00,1855362.08,1846604.23,1811429.45,1782640.61,1776163.44,1773322.35,1861226.72,1882078.76,1735345.58,1610363.69,
2014-04-29,1530109.41,1491298.56,1476884.59,1483205.36,1477679.57,1509309.50,1624999.21,1780073.20,1893338.86,1929074.03,1910033.52,1858776.61,1849992.69,1843619.78,1824865.98,1811520.68,1781194.00,1755298.37,1732752.11,1737104.97,1833884.49,1861422.21,1718885.51,1589133.71,
2014-04-30,1508501.49,1475581.34,1458743.32,1455954.36,1443443.13,1473730.72,1588364.79,1735945.08,1865840.23,1912900.67,1900337.32,1863194.63,1846499.97,1831708.06,1790851.10,1759638.20,1735905.98,1734889.44,1730197.73,1746397.16,1808549.26,1802893.15,1681039.06,1557894.75,
2014-05-01,1475701.10,1428150.78,1405662.35,1392771.35,1386255.02,1379148.44,1405768.59,1469456.29,1559634.28,1615577.93,1637830.26,1619650.64,1608117.20,1600880.77,1592251.35,1584365.65,1585310.04,1594494.29,1599900.96,1621102.65,1688662.36,1732163.59,1636165.76,1524065.98,
2014-05-02,1449588.56,1404292.98,1383421.83,1383870.42,1354971.90,1354228.19,1395427.46,1460897.70,1541407.44,1589052.21,1602297.36,1580965.82,1573198.17,1560153.70,1548573.05,1534595.99,1533321.05,1532719.00,1534914.72,1560614.09,1649965.74,1717218.53,1612662.11,1500160.96,
2014-05-03,1422508.01,1382654.51,1361618.09,1351949.84,1320147.31,1320855.60,1370979.41,1457580.51,1558642.67,1616380.67,1630841.73,1622294.95,1623546.27,1625257.99,1607479.74,1607326.27,1615991.10,1631679.88,1639789.88,1670152.20,1721480.12,1745337.92,1629519.57,1519355.80,
2014-05-04,1441443.15,1398166.21,1378782.48,1365738.02,1336048.57,1337205.46,1379384.54,1458796.42,1554558.16,1605543.73,1630511.19,1617100.77,1604988.89,1592487.45,1574673.79,1558264.91,1554310.25,1559232.91,1560673.12,1593561.70,1692050.38,1749257.16,1614609.92,1480883.48,
2014-05-05,1400078.61,1364038.10,1351949.84,1350757.54,1328694.09,1376043.74,1496300.74,1645834.01,1781791.60,1827287.86,1819472.99,1764131.39,1759480.24,1761699.57,1744275.47,1720854.45,1682842.52,1647486.70,1640887.74,1657107.74,1725009.80,1768794.35,1635008.87,1494648.05,
2014-05-06,1415236.16,1374780.61,1357828.70,1355774.64,1340239.33,1378192.24,1515778.90,1688485.29,1830156.47,1859834.10,1861758.31,1820110.46,1813806.61,1814998.91,1795827.68,1780693.73,1752538.93,1698318.81,1683373.75,1695804.36,1726591.66,1775440.53,1641123.84,1503749.66,
2014-05-07,1408767.05,1361783.36,1348691.67,1344099.55,1316900.95,1364191.57,1490563.53,1641749.50,1777046.01,1819897.97,1818587.62,1772064.32,1774555.16,1777742.50,1768156.88,1747203.10,1709875.85,1682216.86,1674555.45,1679607.97,1736519.62,1800549.66,1675582.48,1536874.34,
2014-05-08,1445610.29,1401270.91,1383575.29,1373859.82,1351607.49,1401967.40,1512745.03,1653483.62,1786879.53,1825092.14,1821420.80,1782865.85,1772394.86,1766102.82,1722200.22,1690244.23,1666008.67,1645409.03,1628752.25,1631160.46,1686572.89,1772465.69,1667708.58,1535847.31,
2014-05-09,1446601.91,1398886.31,1371876.59,1357592.60,1316369.72,1318553.64,1351335.98,1412119.66,1491260.03,1521704.99,1525033.98,1510147.94,1499806.81,1496371.57,1485463.80,1476657.31,1471734.64,1475134.47,1466150.90,1484236.08,1543060.14,1634147.11,1567697.06,1478191.95,
2014-05-10,1402132.67,1350745.73,1328989.21,1317491.19,1279113.31,1286066.42,1313666.39,1387801.46,1484035.40,1533462.71,1538727.72,1523239.63,1520252.98,1511163.17,1497776.36,1493703.65,1494530.00,1502781.65,1521421.67,1542375.45,1608565.79,1661841.52,1556387.92,1439235.62,
2014-05-11,1360201.50,1317680.07,1295699.26,1279573.70,1247074.68,1248184.35,1287683.70,1365407.48,1466351.59,1523806.27,1549198.71,1536484.78,1541265.78,1541596.32,1532199.58,1536095.22,1544807.27,1557060.80,1558571.84,1582937.25,1653082.25,1713653.44,1588686.26,1451949.55,
2014-05-12,1373871.63,1319757.74,1300338.61,1291343.24,1260662.18,1311801.21,1435729.55,1606228.41,1750673.75,1807396.53,1807479.16,1770801.19,1780799.98,1797279.69,1780410.42,1767448.58,1737629.29,1700549.94,1671474.36,1664072.66,1702899.13,1789877.98,1677246.98,1530346.21,
2014-05-13,1418246.42,1352197.74,1331066.88,1320466.04,1285086.61,1324302.65,1450981.54,1638326.06,1775074.58,1826225.42,1827878.11,1788850.95,1796689.44,1815270.43,1799003.21,1788449.59,1756611.64,1720228.79,1689960.91,1666162.13,1691094.18,1784341.46,1671863.92,1509132.72,
2014-05-14,1398355.09,1340864.99,1322484.69,1303632.19,1274273.28,1322413.86,1444972.83,1622495.63,1760566.30,1813676.76,1814314.23,1780516.66,1794422.89,1821975.64,1814562.13,1802497.47,1777400.15,1740273.59,1705319.14,1677306.00,1709415.46,1809238.10,1693832.93,1533096.76,
2014-05-15,1420937.95,1358607.83,1341171.92,1326014.37,1297906.79,1343237.79,1467945.25,1648230.42,1782924.87,1834028.49,1840214.28,1800348.97,1813995.49,1828102.41,1817572.39,1808352.73,1782405.45,1741749.21,1714739.49,1697020.27,1707054.47,1793513.91,1693219.07,1545043.37,
2014-05-16,1438633.57,1372384.20,1342328.80,1326911.54,1289348.20,1347098.00,1474886.56,1647817.24,1780138.90,1822388.81,1823297.79,1778061.23,1793797.23,1808258.29,1797031.78,1782854.04,1750827.22,1714479.78,1674921.40,1650508.77,1656375.83,1760660.74,1685593.08,1543780.24,
2014-05-17,1436744.78,1370873.17,1343131.54,1321469.46,1272561.56,1309333.98,1375807.64,1505992.60,1611198.30,1659964.53,1658311.84,1644016.05,1631939.59,1623416.42,1597964.95,1603312.59,1605874.26,1609911.56,1600550.23,1617431.31,1666079.50,1715117.25,1631101.44,1512367.27,
2014-05-18,1430004.15,1382371.19,1351217.93,1325506.75,1278558.48,1291048.11,1318801.54,1400243.88,1494943.17,1554251.23,1571049.67,1570612.88,1568499.80,1560023.85,1544547.56,1558040.62,1565359.68,1566433.93,1558571.84,1565654.81,1607739.45,1708518.28,1629720.26,1493644.63,
2014-05-19,1393420.62,1337087.41,1311966.48,1294955.55,1273199.03,1325188.02,1457863.83,1625907.26,1758783.75,1820370.16,1820311.14,1777754.30,1789205.10,1809698.49,1790444.62,1783940.10,1749233.55,1709273.80,1677010.88,1658181.99,1673233.30,1772595.54,1682582.81,1526403.36,
2014-05-20,1419379.70,1368169.84,1349411.77,1328835.75,1296360.34,1348408.35,1469220.19,1641666.87,1770388.02,1815966.92,1809568.64,1765630.62,1773539.94,1795874.90,1785368.49,1767779.12,1739329.20,1708494.67,1675747.75,1655761.97,1665501.05,1768452.00,1686372.20,1527749.12,
2014-05-21,1413288.35,1362255.56,1346035.56,1324538.75,1296017.99,1351713.74,1481662.60,1652621.86,1785179.62,1835244.40,1842752.35,1800419.80,1820464.60,1837298.46,1821125.68,1817773.08,1786147.62,1752621.57,1719461.47,1695934.21,1688414.46,1784801.86,1711103.57,1545244.05,
2014-05-22,1435269.16,1376775.64,1353130.33,1333616.75,1305473.76,1362066.68,1487824.79,1659846.48,1800868.39,1861427.77,1867684.40,1833556.29,1854793.39,1877718.60,1861191.67,1856103.74,1827748.26,1789157.88,1746058.02,1711115.37,1703347.72,1794163.18,1727488.84,1571663.52,
2014-05-23,1452457.16,1390363.14,1364108.93,1337476.97,1305296.68,1360945.21,1488438.64,1661463.76,1811646.31,1868168.40,1880209.44,1841323.95,1857555.75,1871827.93,1852857.38,1841099.65,1806298.67,1764886.91,1734005.17,1697256.36,1683574.43,1768381.17,1712921.53,1569951.81,
2014-05-24,1459209.59,1387045.95,1360248.72,1325140.80,1279821.61,1309133.29,1374414.65,1506358.55,1626367.65,1692121.21,1699947.89,1693101.02,1692192.04,1684577.85,1674189.50,1671155.62,1671686.85,1656718.17,1631431.98,1618623.61,1619237.46,1694257.91,1666988.48,1541678.96,
2014-05-25,1444311.75,1376551.35,1341053.87,1304033.55,1263094.00,1288203.12,1328328.14,1413064.05,1524148.61,1599582.23,1639412.12,1641395.35,1645715.96,1643154.29,1631372.95,1634359.60,1642115.45,1643343.17,1628032.15,1626686.39,1637003.91,1725186.87,1686230.54,1548230.70,
2014-05-26,1441513.98,1366942.12,1333805.63,1296372.14,1275878.75,1341254.55,1474249.10,1659740.24,1826792.06,1896571.10,1905566.47,1877883.87,1894280.94,1917784.59,1903500.61,1885073.08,1839883.74,1787233.68,1759397.61,1740297.20,1739813.20,1791223.75,1699215.99,1543685.80,
2014-05-27,1429225.03,1376669.40,1350970.03,1316121.82,1293503.54,1350615.88,1470353.46,1647911.68,1790125.89,1836861.68,1838113.00,1796323.49,1815022.52,1833981.27,1810914.40,1806345.89,1772595.54,1730144.95,1694812.74,1675488.04,1670116.79,1740745.79,1671108.40,1525600.62,
2014-05-28,1416015.29,1365124.16,1343910.67,1310561.69,1282501.33,1338161.66,1456352.80,1624809.40,1763930.71,1814963.50,1814267.01,1772324.03,1783137.36,1800738.54,1780646.52,1772619.15,1748171.10,1721905.10,1685699.32,1664296.95,1655455.04,1723864.72,1678758.01,1533014.13,
2014-05-29,1426745.99,1368653.84,1348361.13,1310325.59,1285440.76,1341726.75,1453743.90,1622106.07,1755631.83,1814432.28,1810182.49,1770872.02,1772654.57,1791471.65,1779831.97,1776314.10,1750366.82,1715660.28,1678923.28,1661876.94,1656458.46,1724242.47,1677128.93,1534702.23,
2014-05-30,1424514.85,1366458.12,1341833.00,1301648.95,1278747.36,1337323.51,1447652.55,1613169.72,1746648.27,1800360.78,1806097.98,1767637.46,1773622.57,1783715.80,1765913.94,1757225.50,1731408.08,1693573.22,1658512.53,1629602.21,1614279.39,1694434.98,1673941.59,1544913.51,
2014-05-31,1442269.49,1379183.85,1349222.89,1294129.20,1266777.14,1293031.34,1350226.31,1465112.07,1581697.73,1645916.65,1665123.30,1642682.09,1633674.92,1629791.09,1612673.91,1597162.21,1591932.62,1586325.27,1558418.37,1544878.10,1548667.49,1616144.57,1615755.00,1501270.62,
2014-06-01,1442833.32,1382226.61,1339529.85,1296601.54,1259461.84,1274836.38,1310772.05,1397682.19,1507619.40,1586842.27,1612520.53,1610320.86,1611003.92,1612497.38,1603814.47,1610552.41,1618112.33,1617614.51,1604937.46,1607519.18,1611605.93,1677318.19,1661086.94,1524996.80,
2014-06-02,1424853.91,1357289.29,1331136.37,1289238.44,1266813.37,1327153.81,1445669.74,1630928.30,1776940.11,1846357.08,1863583.97,1848799.87,1868758.99,1881088.72,1866848.75,1846079.23,1829060.72,1789698.20,1753125.78,1726440.31,1717479.54,1765710.21,1733919.19,1580787.39,
2014-06-03,1458126.82,1392194.59,1369595.87,1322719.74,1303235.29,1363969.35,1482994.67,1672791.50,1814901.79,1887838.23,1907218.49,1873378.29,1883265.23,1909603.39,1895919.13,1879491.06,1851219.51,1812678.97,1768187.74,1737809.13,1726475.04,1773108.05,1737693.36,1595640.95,
2014-06-04,1479058.42,1415476.37,1384171.58,1339252.00,1319813.86,1368820.20,1481941.15,1670950.73,1818907.51,1876816.73,1897921.99,1873667.72,1889771.63,1903895.83,1894935.06,1873216.21,1852435.12,1814288.20,1775041.45,1745299.59,1738990.01,1780459.58,1752014.37,1604844.84,
2014-06-05,1480412.95,1414839.62,1385329.30,1347645.48,1336114.57,1400970.12,1521442.60,1716356.55,1862009.47,1932561.01,1949625.82,1919756.61,1933672.42,1957394.13,1947831.35,1929678.28,1903976.87,1869048.42,1817552.97,1777472.66,1752199.61,1793912.30,1765050.31,1624746.07,
2014-06-06,1493171.04,1429762.65,1400067.10,1355298.01,1333081.34,1394591.07,1510039.04,1715951.35,1864984.81,1942853.15,1948769.10,1914454.25,1924873.74,1937041.39,1917279.09,1897910.41,1872428.96,1830762.57,1774115.27,1725490.98,1705462.40,1742463.17,1744361.83,1620277.26,
2014-06-07,1496065.35,1423256.25,1378325.09,1320902.11,1290257.23,1319153.95,1371656.62,1488320.19,1603687.12,1667465.98,1684519.22,1661688.95,1662290.97,1650030.70,1634934.02,1632282.83,1634343.58,1626968.89,1606674.04,1581528.33,1577128.99,1617834.47,1629550.61,1531746.32,
2014-06-08,1432274.90,1372756.45,1342204.19,1286934.57,1260897.42,1272914.57,1312751.76,1397751.65,1488308.61,1554831.28,1580984.20,1582026.15,1585036.23,1585568.78,1583044.95,1591635.24,1610448.21,1615148.56,1604173.36,1602575.71,1611895.36,1663830.74,1652114.60,1532695.65,
2014-06-09,1429183.79,1371841.85,1337932.19,1301301.89,1287281.89,1345619.46,1467979.03,1657173.84,1801530.11,1884920.78,1898292.46,1874003.46,1893823.65,1914940.49,1897493.63,1868562.17,1831295.12,1789698.20,1758879.66,1743701.93,1738469.03,1770352.68,1730422.87,1587837.91,
2014-06-10,1482693.67,1416715.13,1382909.67,1333810.71,1314511.49,1370579.93,1485599.55,1676253.09,1815191.22,1895652.85,1905759.76,1861025.41,1884434.53,1903108.58,1877754.48,1855410.46,1834212.58,1790022.36,1765652.33,1760072.11,1740101.42,1748355.97,1696837.37,1565007.65,
2014-06-11,1456679.67,1399673.47,1361734.94,1320589.53,1309371.21,1363969.35,1478421.67,1664942.15,1797582.28,1855966.17,1860215.00,1825749.64,1839294.98,1844284.76,1811579.13,1768824.48,1751794.40,1755742.23,1726718.16,1713450.67,1708808.21,1714122.15,1657625.35,1536875.02,
2014-06-12,1438399.25,1384680.98,1358331.24,1315889.18,1289412.09,1300121.02,1339066.76,1430133.12,1526548.15,1616977.76,1656236.09,1651419.97,1642991.76,1637041.07,1613956.11,1599345.66,1615657.96,1622743.21,1613411.98,1619374.24,1649104.52,1678533.80,1639171.28,1525101.00,
2014-06-13,1433930.44,1380848.92,1345816.28,1297423.53,1272995.61,1300306.25,1337225.98,1444731.98,1547317.67,1628994.91,1663437.11,1646163.91,1645561.90,1641752.99,1618945.88,1611189.15,1617487.16,1623704.12,1610031.43,1615055.94,1625116.54,1649984.39,1632803.81,1521303.67,
2014-06-14,1432749.57,1373300.58,1339888.74,1295490.13,1272370.44,1287420.81,1338129.01,1445403.46,1557852.93,1637886.20,1689184.84,1691465.55,1688119.73,1681219.71,1654939.44,1649382.38,1652809.23,1646812.24,1637863.05,1646163.91,1653353.36,1666169.34,1624421.91,1518050.47,
2014-06-15,1425930.59,1369757.95,1335443.09,1277927.50,1249956.95,1265111.52,1293776.70,1375824.41,1466717.11,1533899.68,1567751.45,1566964.20,1570252.13,1561152.44,1552562.15,1548290.15,1558373.91,1565088.69,1561603.95,1581273.63,1613377.25,1652890.27,1622430.63,1499422.74,
2014-06-16,1411065.45,1342817.78,1321990.37,1286703.03,1282187.91,1341833.71,1457246.95,1647194.28,1784071.67,1855642.00,1873343.56,1837037.42,1841471.50,1845129.89,1813813.53,1786468.16,1758138.72,1720848.51,1697404.66,1688663.86,1690979.30,1728535.78,1704767.76,1572162.37,
2014-06-17,1465536.24,1402058.38,1371633.46,1324838.37,1308549.23,1365520.69,1473374.01,1646777.50,1771996.64,1830033.21,1825714.91,1787197.52,1797570.70,1801993.20,1789073.03,1769229.69,1740888.67,1710544.79,1677781.28,1670522.37,1688478.63,1722909.26,1701468.26,1565459.16,
2014-06-18,1466323.49,1406573.49,1379969.05,1322233.49,1303420.52,1361098.20,1466288.75,1647460.56,1773675.34,1828852.33,1830519.45,1796158.28,1802074.24,1817483.51,1801055.44,1774890.94,1758266.07,1736859.80,1747707.65,1745149.08,1761391.91,1766485.89,1706770.62,1583033.37,
2014-06-19,1476534.59,1411343.30,1362938.97,1314314.68,1297794.00,1353839.28,1461067.43,1641162.56,1779799.68,1842710.26,1853754.92,1812771.58,1828146.12,1840383.24,1816105.82,1789524.54,1769125.49,1737357.62,1696802.64,1693260.01,1685896.91,1717305.89,1718394.14,1593313.93,
2014-06-20,1474635.92,1410509.74,1376831.63,1334343.26,1316606.97,1362591.66,1480783.42,1657023.34,1774045.81,1827486.22,1831549.82,1790693.84,1802676.25,1813836.69,1793831.26,1767493.10,1746422.58,1716483.90,1679749.41,1667373.37,1648583.55,1686278.96,1695749.12,1583878.51,
2014-06-21,1463371.30,1403470.80,1367002.58,1305759.12,1285904.20,1308861.81,1365983.78,1501194.05,1614662.32,1694672.43,1715013.60,1695390.22,1679158.97,1646441.77,1626135.33,1616109.47,1618239.67,1607808.61,1584341.59,1578483.53,1587652.68,1619061.66,1637932.51,1542119.50,
2014-06-22,1438433.98,1374875.08,1336762.90,1285718.96,1257922.08,1279988.24,1307414.66,1372941.69,1469669.30,1550130.93,1588046.30,1595467.30,1607195.01,1604705.91,1592989.77,1595189.44,1613643.52,1619582.63,1606755.08,1631055.65,1647865.76,1679760.98,1657706.39,1533760.75,
2014-06-23,1424136.12,1362221.19,1330939.56,1283565.60,1268364.72,1323576.45,1439059.15,1622488.51,1768639.25,1829442.77,1845859.26,1799122.05,1813975.61,1825842.26,1804378.10,1792418.84,1758972.28,1733768.68,1710567.95,1704212.06,1717363.77,1731603.74,1701769.27,1569812.19,
2014-06-24,1458011.05,1395065.74,1361920.18,1316711.16,1294205.06,1346754.03,1472876.19,1649637.08,1771834.56,1837720.48,1846241.31,1812979.97,1816638.37,1830623.65,1817240.39,1797015.00,1786641.81,1756992.57,1721624.19,1696246.94,1683743.55,1712165.60,1698388.72,1574408.35,
2014-06-25,1454121.10,1390944.25,1358030.24,1321342.05,1295629.06,1342829.36,1452071.94,1638742.92,1772737.58,1844886.77,1850571.18,1813257.83,1820192.58,1825876.99,1808441.71,1787510.11,1775886.58,1746480.46,1719760.26,1717861.59,1718232.06,1738295.37,1702487.05,1572602.30,
2014-06-26,1463799.65,1401595.29,1372860.65,1327061.19,1305307.61,1354394.99,1459886.56,1639113.39,1767909.88,1832174.99,1842212.44,1803289.85,1806820.90,1824684.54,1801761.65,1779325.02,1762526.48,1720165.46,1691639.20,1665486.28,1663772.85,1695019.75,1690481.48,1572799.11,
2014-06-27,1465953.02,1406920.81,1349752.53,1301579.75,1283044.63,1336901.82,1447394.74,1614569.70,1744118.71,1806438.85,1816325.79,1782126.70,1790844.34,1792905.09,1780830.05,1751447.09,1728489.47,1710185.90,1685966.37,1695413.38,1709502.84,1715523.00,1674701.74,1560562.00,
2014-06-28,1458613.06,1398353.67,1359685.78,1317023.75,1292317.97,1308363.99,1353931.90,1463938.58,1583959.55,1666690.31,1690527.79,1675766.85,1665289.47,1651547.32,1626308.99,1607380.25,1615634.80,1617545.04,1614268.69,1623750.43,1646974.32,1663275.03,1626320.57,1519486.05,
2014-06-29,1419424.20,1365659.62,1331680.50,1283334.06,1255027.77,1272972.45,1295663.79,1373335.31,1478166.97,1560550.42,1604497.52,1616074.74,1616850.41,1611524.89,1595015.79,1601001.20,1615032.79,1630326.28,1633220.59,1660207.07,1694857.67,1695123.95,1621029.78,1489964.15,
